가맹점코드,위도,경도,가맹점명,주소
OD_OJWX2XU,37.4797909,126.8952786,방배김밥 구로지타워몰점,08393) 서울특별시 구로구 디지털로26길 38(구로동) 1층 124호
QG63GO,37.720609,127.2027095,배스킨라빈스(남양주진접역점),12054) 경기도 남양주시 해밀예당1로 221. 지안빌딩 102호 
RHTYI2,37.6571646,127.3019597,배스킨라빈스(남양주마석점),12175) 경기도 남양주시 화도읍 비룡로 58 배스킨라빈스 
S2L32F,37.6510874,127.1262858,배스킨라빈스(별내북부점),"12097) 경기도 남양주시 별내3로 328 1층,104호 "
SELF_QBNVF4,37.5570876,126.920474,백억살롱,03992) 서울특별시 마포구 월드컵북로4길 13 (동교동) 1층 백억살롱본점
SV0MDV,37.4993707,127.0296949,바우골,06134) 서울특별시 강남구 강남대로92길 29 역삼동 1층 
TY3RLG,37.395668,127.1080212,배키욘방(판교직영점)_KIOSK,"13530) 경기 성남시 분당구 대왕판교로606번길 10 1층 129호, 130호, 131호 알파리움1단지 "
WZXS4M,37.3943247,127.1083694,밥이랑커피랑,"13530) 경기 성남시 분당구 판교역로 145 백현동, 알파리움2단지, 지하1층 "
Y0TA5E,37.1009747,126.9020919,백리향,18614) 경기도 화성시 향남읍 서해로 434 상신리 
ZI5O4C,37.6602184,127.2478811,배스킨라빈스(남양주호평중흥점),"12145) 경기도 남양주시 늘을3로 65-12 금강프라자, 106/107호 "
1HBJLU,37.571517,127.0014172,미스터순두부,03129) 서울특별시 종로구 연지동 275-1
35ZHWD,37.403806,127.100065,모박사부대찌개(판교점),13486) 경기도 성남시 분당구 판교로255번길 9-22 B118호 
53Q270,37.4817399,126.8817895,미스터 쭈꾸미,"08502) 서울 금천구 가산디지털1로 186 가산동, 제이플라츠  B109-1호 "
580CEN,37.5229194,126.9242423,미미쌀국수,"07327) 서울 영등포구 국제금융로2길 37, 2층 여의도동, S-TRENUE "
6Z32QS,37.4021961,127.1060418,문어집(판교점),"13494) 경기도 성남시 분당구 대왕판교로 660 1층 122호(삼평동, 유스페이스1) "
A0AAX3,37.483932,126.8955354,명품들깨칼국수,08390) 서울특별시 구로구 디지털로  288 대륭포스트타워1차
EFG872,37.5622702,126.941068,미스터호떡(신촌세브란스점),"03722) 서울특별시 서대문구 연세로 50-1 신촌동, 연세의료원 본관 3층 "
EGCJK7,37.4870778,127.031472,미소마을,06730) 서울 서초구 강남대로41길 18 서초동 2층 
H17BAO,37.5586545,126.7944739,문배동육칼(김포공항점),07505) 서울특별시 강서구 하늘길 112 김포국제공항 4층 
HR7H8L,37.6185644,127.0573211,미식성,01898) 서울시 노원구 월계동 469-16 1층 
IJKS0M,37.5305385,127.1393837,무적분식,05363) 서울 강동구 풍성로63길 53 1층(둔촌동) 
MW8JV6,37.6232497,127.0604072,미미식당,"01886) 서울시 노원구 석계로 18길 5, 1층(월계동) "
PLF5PX,37.3644698,127.1070845,미담,"13558) 경기 성남시 분당구 성남대로331번길 9-13 정자동, 이현빌딩, 1층 "
Q1BL28,37.5028639,127.0413573,미미담(역삼점),"06142) 서울 강남구 테헤란로 231 역삼동, 센터필드 지하2층 WB03호 "
QHOLVM,37.5299402,126.9222145,무지개회관,150010) 서울특별시 영등포구 여의도동 13-5
QYB0IZ,37.5201778,126.8888962,명랑핫도그(문래점),"07280) 서울 영등포구 선유로 71 문래동6가, 문래임광그대가 "
SELF_0IZJYS,37.4854068,127.0313555,명정루 양재,"06734) 서울특별시 서초구 남부순환로347길 23 (서초동, 유진빌딩) 1층 명정루 "
SELF_I1NCJR,37.4018047,126.9668086,모아푸드,"14056) 경기도 안양시 동안구 학의로 250 (관양동, 관양 두산 벤처다임) 지하 1층 "
SELF_JQH1Y8,37.3697,127.105546,미스터 스시,"13556) 경기도 성남시 분당구 정자일로213번길 10 (정자동, 성원상떼뷰리젠시) 101동 102호"
SELF_PKP7E9,37.5014561,127.0426891,명동칼국수샤브샤브 디오빌역삼,"06221) 서울특별시 강남구 언주로 427 (역삼동, 디오빌역삼) 1층 112호 "
SELF_V3K3X1,37.3318596,127.1272148,미소야(새터점),16876) 경기도 용인시 수지구 현암로 159 (죽전동) 1동 105호 
SELF_VCO1HL,37.338709,127.1104518,미미순대국,"13637) 경기도 성남시 분당구 구미로9번길 8 (구미동, 세종그랑시아｜) 103호 "
SS78PX,37.4757004,126.6606033,미각,22110) 인천광역시 미추홀구 염전로202번길 48-14 .
V10Y6V,37.5658011,126.9950216,몽돌이네,100281) 서울 중구 인현동1가 24-1 1층 
WOBSLI,37.449282,126.450995,미사리밀빛초계국수(인천공항점),22382) 인천광역시 중구 운서동 2851 인천국제공항 제1여객터미널 4층 스쿨푸드 내(L/S 전문식당가 동편4층) 
Y3RBIL,35.172707,128.9457484,미도어묵(김해공항점),"46718) 부산광역시 강서구 공항진입로 108, 2층 "
YRCVGR,37.3002663,127.0704758,미스터피자(상현점),"16942) 경기도 용인시 수지구 광교중앙로 338 상현동, 광교우미뉴브지1층 R-B124호(상현동,광교우미뉴브) "
0FKPJ3,37.2961135,127.045777,명가한식뷔페,"16229) 경기 수원시 영통구 창룡대로256번길 77, B1층 B107~110호 이의동, 에이스 광교타워3 "
2LWQP1,37.4835267,126.8954883,멘무샤(구로디지탈단지점),"08390) 서울특별시 구로구 디지털로 288 구로동, 대륭포스트타워1차 B103호 "
2XTFGK,37.2684643,126.89328,매송(상)휴게소,18287) 경기도 화성시 매송면 서해안고속도로 316 매송(상)휴게소
3IKJG3,37.449282,126.450995,면채반(인천공항점),22382) 인천광역시 중구 공항로 272 지하1층 22-102호 
3SDPXZ,37.5634942,127.192146,매머드익스프레스(미사그랑파사쥬점),12913) 경기도 하남시 미사강변동로 95 1층 1070호 
46NJIC,37.4863963,126.994129,메가MGC커피(내방역점),06672) 서울특별시 서초구 방배로 141
5CR4B0,37.2658351,126.8898311,매송휴게소(목포방향),18286) 경기도 화성시 매송면 서해안고속도로 315 . 
6GLSOH,37.3794309,127.1161018,메가MGC커피(수내역점),13595) 경기도 성남시 분당구 황새울로258번길 32 
8VESXZ,37.5035372,127.0470764,맥도날드(선릉점),06211) 서울특별시 강남구 역삼동 707-27
ASI263,37.5669356,126.8265611,매머드익스프레스(마곡나루점),"07788) 서울특별시 강서구 마곡중앙5로1길 20 1층 111호(마곡동, 마곡나루역보타닉비즈타워) "
BGBLU2,37.3728074,126.9488655,메밀꽃필무렵,"14118) 경기 안양시 동안구 엘에스로 122 호계동, 호계 데시앙플렉스  1층 109호 "
C741VI,37.2423268,126.9840611,매머드익스프레스(수원고색점),"16648) 경기도 수원시 권선구 산업로 180 117, 118호(고색동) "
CWFZYN,37.5082794,127.0587636,맥도날드(삼성역점),06169) 서울특별시 강남구 삼성로92길 29 도일빌딩 1F
DECUBU,37.5079262,127.0655749,명가막회집,"06174) 서울특별시 강남구 영동대로86길 18 대치동, 지하 1층 "
DG3IQQ,37.5023329,126.7910295,매머드익스프레스(춘의점),14557) 경기도 부천시 조마루로385번길 131 1층 1호(춘의동) 
E619C2,37.5586545,126.7944739,면주방(김포공항점),07505) 서울특별시 강서구 하늘길 112 김포국제공항 4층 
EB7UH8,37.2423872,126.9839557,메가MGC커피(수원산업단지점),16648) 경기도 수원시 권선구 산업로 180 1층106호(고색동DH테크타워) 
EC7PYT,37.5731767,127.0151375,맥도날드(서울동묘역점),03104) 서울특별시 종로구 창신동 290
EGQ2ON,37.4725281,126.8814529,메가MGC커피(가산한화비즈점),08588) 서울특별시 금천구 가산디지털2로 43-14
FXZANU,37.4815235,126.8972877,메가MGC커피(구로디지털탑프라자점),08393) 서울특별시 구로구 디지털로26길  98 
G63EX0,37.2628545,126.8900741,매송휴게소(서울방향),18287) 경기도 화성시 매송면 서해안고속도로 316 . 
GAY7OU,37.4475135,126.4524015,명가의뜰(인천공항지점),22382) 인천광역시 중구 운서동 2851 인천공항 1여객터미널 4층 한국전통문화의거리 동편 
I3IYBV,37.5122454,127.1204424,명동칼국수,05635) 서울 송파구 가락로42길 8 방이동 1층 
IFK19D,37.2650761,126.8880143,매송(하)휴게소,18286) 경기도 화성시 매송면 서해안고속도로 315 매송(하)휴게소
J2G35K,37.4851426,126.8950591,맥도날드(구로디지털점),08380) 서울특별시 구로구 구로동 197-21
